Date,Distance Walking/Running,Steps,Distance Swimming,Strokes,Distance Cycling,Distance Wheelchair,Distance Downhill Snowsports
2018-04-25,13601.69,18318.00,0.00,0.00,0.00,0.00,0.00
2018-04-26,14798.05,20746.00,0.00,0.00,0.00,0.00,0.00
2018-04-27,13449.79,20152.00,0.00,0.00,0.00,0.00,0.00
2018-04-28,5701.21,7879.00,0.00,0.00,0.00,0.00,0.00
2018-04-29,10381.69,15307.00,0.00,0.00,0.00,0.00,0.00
2018-04-30,2491.46,3496.00,0.00,0.00,0.00,0.00,0.00
2018-05-01,2214.28,3179.00,0.00,0.00,0.00,0.00,0.00
2018-05-02,14186.07,19693.00,0.00,0.00,0.00,0.00,0.00
2018-05-03,17553.27,24355.00,0.00,0.00,0.00,0.00,0.00
2018-05-04,17295.40,23618.00,0.00,0.00,0.00,0.00,0.00
2018-05-05,2353.49,3342.00,0.00,0.00,0.00,0.00,0.00
2018-05-06,66.83,100.00,0.00,0.00,0.00,0.00,0.00
2018-05-07,2296.24,3158.00,0.00,0.00,0.00,0.00,0.00
2018-05-08,92.42,130.00,0.00,0.00,0.00,0.00,0.00
2018-05-09,67.90,99.00,0.00,0.00,0.00,0.00,0.00
2018-05-10,2009.93,2704.00,0.00,0.00,0.00,0.00,0.00
2018-05-11,9458.25,14045.00,0.00,0.00,0.00,0.00,0.00
2018-05-12,4.32,8.00,0.00,0.00,0.00,0.00,0.00
2018-05-13,38.56,59.00,0.00,0.00,0.00,0.00,0.00
2018-05-14,5523.35,7925.00,0.00,0.00,0.00,0.00,0.00
2018-05-15,5395.76,7660.00,0.00,0.00,0.00,0.00,0.00
2018-05-16,4075.33,5947.00,0.00,0.00,0.00,0.00,0.00
2018-05-17,4132.37,5903.00,0.00,0.00,0.00,0.00,0.00
2018-05-18,4045.54,5314.00,0.00,0.00,0.00,0.00,0.00
2018-05-19,6179.55,9473.00,0.00,0.00,0.00,0.00,0.00
2018-05-20,5135.29,6547.00,0.00,0.00,0.00,0.00,0.00
2018-05-21,4842.24,6203.00,0.00,0.00,0.00,0.00,0.00
2018-05-22,5026.14,6823.00,0.00,0.00,0.00,0.00,0.00
2018-05-23,4119.21,5283.00,0.00,0.00,0.00,0.00,0.00
2018-05-24,4385.20,5582.00,0.00,0.00,0.00,0.00,0.00
2018-05-25,8976.26,13438.00,0.00,0.00,0.00,0.00,0.00
2018-05-26,4273.82,6258.00,0.00,0.00,0.00,0.00,0.00
